areaCode,areaName,areaType,date,newCasesByPublishDate
E08000013,St. Helens,utla,2022-05-22,0
E08000013,St. Helens,utla,2022-05-21,0
E08000013,St. Helens,utla,2022-05-20,24
E08000013,St. Helens,utla,2022-05-19,26
E08000013,St. Helens,utla,2022-05-18,21
E08000013,St. Helens,utla,2022-05-17,32
E08000013,St. Helens,utla,2022-05-16,47
E08000013,St. Helens,utla,2022-05-15,0
E08000013,St. Helens,utla,2022-05-14,0
E08000013,St. Helens,utla,2022-05-13,28
E08000013,St. Helens,utla,2022-05-12,25
E08000013,St. Helens,utla,2022-05-11,24
E08000013,St. Helens,utla,2022-05-10,33
E08000013,St. Helens,utla,2022-05-09,100
E08000013,St. Helens,utla,2022-05-08,0
E08000013,St. Helens,utla,2022-05-07,0
E08000013,St. Helens,utla,2022-05-06,21
E08000013,St. Helens,utla,2022-05-05,30
E08000013,St. Helens,utla,2022-05-04,50
E08000013,St. Helens,utla,2022-05-03,84
E08000013,St. Helens,utla,2022-05-02,0
E08000013,St. Helens,utla,2022-05-01,0
E08000013,St. Helens,utla,2022-04-30,0
E08000013,St. Helens,utla,2022-04-29,30
E08000013,St. Helens,utla,2022-04-28,30
E08000013,St. Helens,utla,2022-04-27,70
E08000013,St. Helens,utla,2022-04-26,0
E08000013,St. Helens,utla,2022-04-25,118
E08000013,St. Helens,utla,2022-04-24,0
E08000013,St. Helens,utla,2022-04-23,0
E08000013,St. Helens,utla,2022-04-22,55
E08000013,St. Helens,utla,2022-04-21,53
E08000013,St. Helens,utla,2022-04-20,52
E08000013,St. Helens,utla,2022-04-19,274
E08000013,St. Helens,utla,2022-04-18,0
E08000013,St. Helens,utla,2022-04-17,0
E08000013,St. Helens,utla,2022-04-16,0
E08000013,St. Helens,utla,2022-04-15,0
E08000013,St. Helens,utla,2022-04-14,81
E08000013,St. Helens,utla,2022-04-13,94
E08000013,St. Helens,utla,2022-04-12,91
E08000013,St. Helens,utla,2022-04-11,243
E08000013,St. Helens,utla,2022-04-10,0
E08000013,St. Helens,utla,2022-04-09,0
E08000013,St. Helens,utla,2022-04-08,104
E08000013,St. Helens,utla,2022-04-07,129
E08000013,St. Helens,utla,2022-04-06,115
E08000013,St. Helens,utla,2022-04-05,127
E08000013,St. Helens,utla,2022-04-04,335
E08000013,St. Helens,utla,2022-04-03,0
E08000013,St. Helens,utla,2022-04-02,0
E08000013,St. Helens,utla,2022-04-01,194
E08000013,St. Helens,utla,2022-03-31,222
E08000013,St. Helens,utla,2022-03-30,250
E08000013,St. Helens,utla,2022-03-29,209
E08000013,St. Helens,utla,2022-03-28,598
E08000013,St. Helens,utla,2022-03-27,0
E08000013,St. Helens,utla,2022-03-26,0
E08000013,St. Helens,utla,2022-03-25,214
E08000013,St. Helens,utla,2022-03-24,278
E08000013,St. Helens,utla,2022-03-23,242
E08000013,St. Helens,utla,2022-03-22,246
E08000013,St. Helens,utla,2022-03-21,510
E08000013,St. Helens,utla,2022-03-20,0
E08000013,St. Helens,utla,2022-03-19,0
E08000013,St. Helens,utla,2022-03-18,250
E08000013,St. Helens,utla,2022-03-17,225
E08000013,St. Helens,utla,2022-03-16,206
E08000013,St. Helens,utla,2022-03-15,215
E08000013,St. Helens,utla,2022-03-14,459
E08000013,St. Helens,utla,2022-03-13,0
E08000013,St. Helens,utla,2022-03-12,0
E08000013,St. Helens,utla,2022-03-11,175
E08000013,St. Helens,utla,2022-03-10,143
E08000013,St. Helens,utla,2022-03-09,142
E08000013,St. Helens,utla,2022-03-08,114
E08000013,St. Helens,utla,2022-03-07,242
E08000013,St. Helens,utla,2022-03-06,0
E08000013,St. Helens,utla,2022-03-05,0
E08000013,St. Helens,utla,2022-03-04,66
E08000013,St. Helens,utla,2022-03-03,82
E08000013,St. Helens,utla,2022-03-02,86
E08000013,St. Helens,utla,2022-03-01,58
E08000013,St. Helens,utla,2022-02-28,149
E08000013,St. Helens,utla,2022-02-27,0
E08000013,St. Helens,utla,2022-02-26,0
E08000013,St. Helens,utla,2022-02-25,66
E08000013,St. Helens,utla,2022-02-24,58
E08000013,St. Helens,utla,2022-02-23,38
E08000013,St. Helens,utla,2022-02-22,60
E08000013,St. Helens,utla,2022-02-21,71
E08000013,St. Helens,utla,2022-02-20,51
E08000013,St. Helens,utla,2022-02-19,55
E08000013,St. Helens,utla,2022-02-18,89
E08000013,St. Helens,utla,2022-02-17,84
E08000013,St. Helens,utla,2022-02-16,107
E08000013,St. Helens,utla,2022-02-15,83
E08000013,St. Helens,utla,2022-02-14,63
E08000013,St. Helens,utla,2022-02-13,63
E08000013,St. Helens,utla,2022-02-12,61
E08000013,St. Helens,utla,2022-02-11,100
E08000013,St. Helens,utla,2022-02-10,111
E08000013,St. Helens,utla,2022-02-09,82
E08000013,St. Helens,utla,2022-02-08,112
E08000013,St. Helens,utla,2022-02-07,100
E08000013,St. Helens,utla,2022-02-06,120
E08000013,St. Helens,utla,2022-02-05,115
E08000013,St. Helens,utla,2022-02-04,147
E08000013,St. Helens,utla,2022-02-03,144
E08000013,St. Helens,utla,2022-02-02,171
E08000013,St. Helens,utla,2022-02-01,282
E08000013,St. Helens,utla,2022-01-31,3577
E08000013,St. Helens,utla,2022-01-30,137
E08000013,St. Helens,utla,2022-01-29,165
E08000013,St. Helens,utla,2022-01-28,131
E08000013,St. Helens,utla,2022-01-27,185
E08000013,St. Helens,utla,2022-01-26,183
E08000013,St. Helens,utla,2022-01-25,152
